OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,lat,lon
128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham                               ,IL,510,3.399,37.71351657620417,-117.98373801395246
128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham                               ,IL,510,3.349,38.88621853293064,-115.2615764482703
128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham                               ,IL,510,3.549,30.696756190799967,-119.6605912988205
135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,290,3.589,39.11317277852157,-112.3528406762287
135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,290,3.389,32.557861855309376,-116.55049956447702
135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,290,3.449,30.97577389477919,-70.20988161100408
147,SPEEDWAY #8039,"I-69, EXIT 234 & SR-67",Daleville,IN,375,3.624,44.2332830588,-105.55950150229552
149,RAYS TRUCK WASH,"I-69, EXIT 309 & US-30",Fort Wayne                              ,IN,370,3.59233333,44.484480496118394,-112.53659936653764
151,CUBBYS #2101,"I-80, EXIT 211 & SR-47",Gothenburg,NE,475,3.13233333,42.125960221746915,-107.9501871002041
159,PILOT TRAVEL CENTER #87,"I-10, EXIT 343",Jacksonville,FL,75,3.859,34.56920653760056,-73.19372142299326
159,PILOT TRAVEL CENTERS #87,"I-10, EXIT 343",Jacksonville,FL,75,3.859,31.46508171009576,-93.99198884878021
160,PILOT TRAVEL CENTERS #79,"I-12, EXIT 10 AT MILE 10",Denham Springs                          ,LA,600,3.23233333,40.263495397682355,-101.75909518460716
164,FLYING J TRAVEL PLAZA #650,"I-94, EXIT 15 B",Lake Station                            ,IN,365,3.809,36.60228740609402,-76.33042710453904
167,FLYING J TRAVEL PLAZA #653,RT 2 & I-65 EXIT 240,Hebron,IN,365,3.43566666,31.83057352267168,-100.25048647254837
174,Hop-In Food Stores,US-59 & SR-224,Nacogdoches                             ,TX,618,2.859,37.427653651669054,-103.2495715021152
184,SAPP BROS TRAVEL CENTER,"I-29 & I-80, EXIT 1B",Council Bluffs,IA,486,3.719,30.515827816728276,-109.63587387251323
186,COFFEE CUP FUEL STOP #5,"I-90, EXIT 154 & US-16",Moorcroft                               ,WY,822,3.239,43.639806031181735,-101.11015880452942
187,DUDLEYS CORNER,"I-35, EXIT 165 & SR-3",Latimer,IA,433,3.23233333,33.881699724000256,-104.1657821991537
191,KUM & GO #0302,"I-35, EXIT 193 & SR 106",Clear Lake,IA,433,3.18566666,39.93783426530973,-86.13480203509295
192,Brew Stuart Truckstop,"I-80, EXIT 93",Stuart                                  ,IA,320,3.099,34.67566614134117,-105.52086476646365
195,PETRO STOPPING CENTER #311,"I-40 & I-55, EXIT 280",West Memphis,AR,435,3.36733333,37.80102031766716,-91.14001267887193
198,SINCLAIR,"I-76, EXIT 115",Atwood,CO,800,3.299,38.200654190149194,-116.70539174840137
199,PETRO STOPPING CENTER #366,"I-70, EXIT 252",Salina,KS,523,3.80566666,32.7728168328829,-110.43554216517428
203,PILOT TRAVEL CENTER #31,"I-80/94, EXIT 2",Highland,IN,365,3.829,44.54376941646838,-99.62973641943256
203,PILOT TRAVEL CENTERS #31,"I-80/94, EXIT 2",Highland,IN,365,3.799,41.626992350416714,-73.15253730456523
207,MARATHON,SR-32,Sardinia                                ,OH,300,3.56566666,44.09248412346284,-101.13740071421523
216,CIRCLE K #2721593,"I-10, EXIT 50",Ocean Springs,MS,715,3.41566666,43.422410256414736,-86.7962939400083
217,NORTH 9TH 24/7,"I-70, EXIT 252",Salina,KS,523,3.02566666,38.968499682166275,-107.2456388789301
231,DERBY CITYS TRUCK PLAZA,"I-75, EXIT 62 & US-25",Mount Vernon,KY,410,2.999,43.82811352534675,-113.64832120133842
235,PILOT TRAVEL CENTERS #92,"I-75, EXIT 358",Ocala,FL,225,3.359,31.327387530778793,-117.07316999599749
235,PILOT TRAVEL CENTER #92,"I-75, EXIT 358",Ocala,FL,225,3.41233333,32.939742936287175,-104.72932507286244
240,LA 1 SOUTH TRUCKSTOP,"I-10, EXIT 153 & SR-1",Port Allen,LA,600,3.039,30.67840933365807,-112.1169486601546
243,SAVE,US-41 & SR-10,Lake Village,IN,399,3.179,34.879954961448966,-111.29947759919379
244,BIG D TRUCK TRAVEL PLAZA,"I-10, EXIT 92 & SR-95",Duson,LA,725,2.98233333,35.83015934534223,-81.9620345806525
248,Mardi Gras Truck Stop,"I-10, EXIT 236",New Orleans,LA,725,3.729,34.07023547660844,-119.2080964527563
250,GOLDEN OX TRUCK STOP,"I-70/US-40, EXIT 159 & US-183",Hays,KS,523,3.499,42.43106263727894,-92.10949371322828
253,LOVES TRAVEL STOP #450,"I-40, EXIT 280 & I-55, EXIT 4",West Memphis,AR,435,3.32566666,35.35129990040384,-101.02693097032676
256,BFS FOODS #66,"I-68/US-40, EXIT 22 & US-219",Grantsville                             ,MD,165,3.899,34.21401764531071,-94.67250000457264
257,PILOT TRAVEL CENTER #917- TOWN PUMP,I-15 & 31ST STREET EXIT 277,Great Falls                             ,MT,815,3.63566666,38.14044124737373,-91.85848813926985
263,CASEYS #3956,I-94 EXIT 16,Bridgman,MI,465,3.559,32.11386337462144,-104.3316152771361
267,CORNER MARKET #117,SR-154 & SR-129,Dodge City,KS,357,3.399,42.032954711310595,-105.24455699078574
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.299,31.118259655196564,-83.32990753325471
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.249,44.803304049007764,-76.43615059394214
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.439,41.58367153944986,-110.37091837707361
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.349,32.98073522301259,-115.11906197324255
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.559,30.082831756854034,-75.1102096803987
278,CARLISLE PLAZA,US-41,Carlisle,IN,510,3.499,42.23192142682251,-102.50522681763007
281,CIRCLE K #4700065,"I-65, EXIT 76 & US-31",Taylorsville,IN,375,3.399,40.60286015771426,-92.4341304668593
289,LOVES TRAVEL STOP #173,"I-70, MM 209",Lawrence,KS,553,3.229,40.93510752061481,-102.02284277399983
292,PETES #56,US-169 & CR-5000,Cherryvale,KS,307,3.23233333,41.569055200289185,-113.70988318269744
293,LOVES TRAVEL STOP #176,"I-35, MILE MARKER 97",Matfield Green,KS,336,3.25566666,31.110669776011356,-90.5334177526136
304,FL Roberts,"I-91, EXIT 4",Springfield,MA,100,3.599,35.37698592816409,-93.74295741151852
309,QUIKTRIP #231,"I-635, EXIT 3",Kansas City,KS,400,3.199,31.738035892876944,-109.85032204044013
323,SAPP BROS TRAVEL CENTER,"I-80, EXIT 126",Ogallala,NE,475,3.46566666,42.946551388133905,-97.40654776738612
326,FLYING J TRAVEL PLAZA #748,"I-15, EXIT 357",Willard                                 ,UT,835,3.749,39.34947190241337,-80.1526247992177
341,TA JACKSONVILLE SOUTH TRAVEL CENTER,"I-95, EXIT 329",Saint Johns,FL,75,3.469,34.963470372789736,-90.47869484460543
347,7-ELEVEN #40514,I-90/80-IN TOLL RD MM 22E,Portage,IN,365,3.99066666,30.953375254290354,-115.15413364665025
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.769,34.66473482573493,-92.59892513854325
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.689,34.87774983040121,-84.86308503552065
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.699,40.94409267507096,-80.36482971096243
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.739,39.563362070328196,-88.54412106828666
361,CIRCLE K #2726293,"I-295, EXIT 25",Jacksonville,FL,75,3.31566666,43.3081911386449,-112.36709177296082
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort                              ,NY,12,3.749,37.08322387742924,-84.49133667049196
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort                              ,NY,12,3.799,31.793913689074525,-86.13290769592419
372,GAS DEPOT,"I-94, EXIT 5",Hammond,IN,365,3.999,40.698671808344926,-118.77865585296834
381,7-Eleven #41830,US-69 & US-135,Jacksonville,TX,630,2.91566666,41.41177572925346,-99.41261662048784
387,Circle K #2709664,"I-8, EXIT 12",Yuma,AZ,930,3.489,38.419157963542446,-103.35248765188133
388,Pilot Travel Centers #14,"I-71, EXIT 131",Sunbury,OH,315,3.719,41.56450769931841,-86.52939678731784
391,PILOT TRAVEL CENTERS #13,"I-71, EXIT 209",Seville,OH,305,3.699,37.40693394546586,-109.19320938445397
403,TRUCKOMAT OF HEBRON,"I-70, EXIT 126 & SR-37",Hebron,OH,315,3.429,37.84099244072991,-90.45640385128708
407,FUEL MART #641,"I-80 & I-280, EXIT 71",Perrysburg                              ,OH,550,3.499,36.413115275378246,-74.33970190929139
421,PETRO STOPPING CENTER #316,"I-40 & I-35, EXIT 127",Oklahoma City,OK,483,3.30233333,30.381286901161427,-80.10988138956961
424,E EXPRESS,"I-40, EXIT 166",Choctaw,OK,483,2.899,31.618371404899566,-73.92711318917348
425,Neighbors Express,"I-16, EXIT 51",Dublin                                  ,GA,85,3.299,30.471437785301013,-71.07470165336551
442,WESTERN COOP,US-385 & SR-2,Alliance,NE,795,3.324,39.546156168956706,-119.46649364969186
455,MR FUEL #753,"I-95, EXIT 104 & SR-207",Ruther Glen,VA,180,3.26566666,34.715339716144896,-88.86293618112612
456,THE COUNTRY OASIS,US-24,Woodburn                                ,IN,370,3.399,37.62856036747054,-99.35803011205468
458,HAPPY HILLS GAS & COFFEE,I-29 EXIT 110,Rock Port,MO,400,3.399,43.613497108891394,-77.00727548324392
460,TRUCK STOP 44,I-20 EXIT 44,Gilbert,SC,135,3.079,33.73938343723312,-107.40926489954342
461,SPINX #271,"I-26, EXIT 145 & US-601",Orangeburg,SC,42,3.26233333,36.155743845534445,-70.9485255442462
469,LOAF N JUG #750010,US-160 & SR-17,Alamosa,CO,803,3.259,41.33326707814573,-89.31460152281264
474,KEWANEE 1 STOP,"I-20, EXIT 169 & US-80",Toomsuba,MS,705,3.299,33.431972482374334,-80.32312988855846
478,GASTRAK OF PEMBINA,"I-29, EXIT 215",Pembina                                 ,ND,355,3.299,31.154698647431896,-115.72002235886158
483,ALLSUPS #2387,US-54/SR-136/SR-3 & US-64,Guymon,OK,585,2.97566666,34.34627179370652,-110.82710576205675
486,LA NORIA CONV STORES,"I-35 N, EXIT 4",Laredo                                  ,TX,693,3.299,32.41831930881007,-82.07981634828984
489,EDDIES CORNER,US-87 & US-191,Moore,MT,815,3.749,43.9454647851386,-118.90067389803382
491,One9 #403,"I-75, EXIT 117",Heiskell,TN,405,2.999,42.12180569346626,-79.15610070531086
496,PILOT TRAVEL CENTERS #270,"I-40 & I-75, EXIT 374",Knoxville,TN,405,3.439,39.50105634765635,-119.30254906540442
509,LOVES TRAVEL STOPS #256,"I-10, EXIT 140B",Van Horn,TX,640,3.649,43.07190885281577,-87.14405804693634
509,LOVES TRAVEL STOP #256,"I-10, EXIT 140B",Van Horn,TX,640,3.649,42.05508115348672,-101.7453039884097
522,GO MART FOOD STORE #57,"I-70 & ST-285, EXIT 186",Lore City                               ,OH,430,3.179,32.79855088329054,-89.42525736404005
523,CIRCLE K #2723322,"I-985, EXIT 20 & SR-60",Gainesville,GA,18,3.26566666,43.388384977349666,-85.19842965054431
525,FASTBREAK,US-45 ALT,West Point,MS,705,3.059,38.09013362873476,-102.8762390406848
546,PLAZA 30,US-30,Wanatah,IN,365,3.499,42.111602327460936,-114.60187759445822
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.389,43.441369498852396,-116.51770661258672
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.589,34.77005212457796,-90.55319887187261
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.449,31.65077886791515,-93.96723231329443
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.289,33.41902743812913,-82.88994954394337
559,SHELL MORGAN ROAD TRUCK STOP,"I-40, EXIT 142",Maumelle,AR,695,3.20733333,36.40661682939385,-94.51322449980314
566,TA GARY TRAVEL CENTER,"I-80/I-94, EXIT 6",Gary,IN,365,3.83066666,42.27022148883739,-98.87771049845604
567,TA ELOY TRAVEL CENTER,"I-10 & I-8, EXIT 203",Eloy,AZ,930,3.459,42.910958748845154,-100.09564108818846
572,PILOT TRAVEL CENTER #881,"I-69, EXIT 309A",Fort Wayne                              ,IN,370,3.899,30.10428195796786,-118.67765487011663
572,PILOT TRAVEL CENTERS #881,"I-69, EXIT 309A",Fort Wayne                              ,IN,370,3.879,37.661209538663485,-103.22213991516715
576,PETRO STOPPING CENTER #343,"I-10, EXIT 76",Egan,LA,600,3.624,36.261165047231685,-71.1989921237753
578,LOVES TRAVEL STOP #449,"I-84, EXIT 17",Troutdale,OR,935,3.779,33.331617157060954,-76.32222118864556
579,FLYING J TRAVEL PLAZA #764,"I-80, EXIT 104 & US-191",Rock Springs,WY,835,3.67066666,31.797980510005242,-103.53109664828912
586,AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,925,4.399,35.06422757105442,-90.6102297466814
586,AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,925,4.559,44.14364555868779,-77.6351627232253
588,TA TUSCALOOSA TRAVEL CENTER,"I-20/I-59, EXIT 77",Cottondale,AL,615,2.964,34.84804398031133,-97.93628316249657
591,TA Concordia Travel Plaza,"I-70, EXIT 58 & SR-23",Concordia,MO,400,3.22566666,37.78185932615049,-119.10210681249245
599,Sapp Bros Travel Center,"I-80, EXIT 59 & SR-17J",Sidney,NE,475,3.50066666,40.54528438342767,-116.274476909068
602,JIFFY MART EXIT 18 TRUCK STOP,"I-89/SR-120, EXIT 18 & SR-120",Lebanon,NH,12,3.599,35.454444035689406,-94.48036393256467
614,TA MAYBROOK TRAVEL CENTER,"I-84, EXIT 5",Montgomery,NY,120,4.359,44.57673124081441,-71.52803121620607
628,KWIK FILL #227,"I-90,  EXIT 218",Geneva,OH,305,3.15233333,44.43670942413167,-85.33952288905661
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.39948962,33.77673443738046,-116.45419042807153
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.39625375,37.458727588385784,-110.53195621040686
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.40695023,34.513174647251546,-81.4338428391575
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.40630048,34.272607415662016,-77.92801200218776
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.39722401,30.553304210317993,-89.11527069057045
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.3981947,39.14346500969845,-87.77884151850917
636,UNION 76,"I-5, EXIT 233 E",Albany,OR,935,3.379,37.54018534843292,-118.58312748083077
651,ONE9 #1366,"I-40, EXIT 126 & US-641",Holladay,TN,460,2.98566666,30.77218126874984,-78.57348702092457
652,TA KNOXVILLE EAST TRAVEL CENTER,"I-40 & I-75, EXIT 374",Knoxville,TN,405,3.42566666,34.17969696354917,-80.58623959145851
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.39948962,43.623988289499806,-107.04824279483265
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.59317483,33.59342836000459,-84.56616400172464
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.59114784,32.17342308136835,-109.25726967875009
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.60163996,37.341791404163445,-117.98349194742435
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.59216111,44.78475681165901,-109.94317287048113
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.60231851,33.630829072672505,-111.06855616228502
669,PETRO STOPPING CENTER #350,"I-10,  EXIT 4",Canutillo,TX,640,3.499,40.08203321108818,-103.11260016325764
672,CROWN POINT TRUCK STOP,"I-295/US-130,EXIT 22",Thorofare,NJ,150,3.549,41.424294229930766,-99.0775251412271
680,TA EXPRESS SUMMIT,"I-29, EXIT 207 & US-12",Summit,SD,566,3.20566666,33.56456315988599,-94.5730554251146
684,7-ELEVEN #35101,"I-86/SR-17, EXIT 16",Randolph,NY,38,4.499,40.923245229177894,-96.16230622458359
689,FLYING EAGLE,"I-235, EXIT 4",Wichita,KS,570,3.499,35.516746990788796,-106.46626970173553
692,BP,US-63,Ottumwa,IA,489,3.399,39.48458745890369,-118.54146657129628
739,Arco #364420,US-23,Greenup,KY,255,3.649,39.50294566141342,-89.74491888814246
748,QUIKTRIP #4231,US-85,Evans,CO,800,3.17233333,38.03662026112138,-100.21275850763229
769,AYERCO #26,US-61/US-136,Alexandria,MO,345,3.01566666,31.354346550816125,-105.06639213062252
815,Kwik Trip #1508,"US-18/SR-151, EXIT 58",Barneveld,WI,420,3.489,42.52953743383857,-76.65294785847439
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.379,34.81170097457604,-82.662834610092
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.499,32.79777765599781,-77.11172258137789
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.289,30.61162712332146,-95.25086026437695
863,Ocean Fuel,US-301/SR-73,Sylvania,GA,195,3.499,38.86339414782363,-113.45343739366112
906,PILOT TRAVEL CENTERS #429,"I-40, EXIT 280",West Memphis,AR,435,3.499,40.163465427634236,-85.18892819393638
906,PILOT TRAVEL CENTER #429,"I-40, EXIT 280",West Memphis,AR,435,3.291,30.248817433917843,-109.69631100314123
908,CIRCLE K #2704888,"I-65, EXIT 246 & SR-119",Pelham,AL,615,3.46566666,37.68139587448921,-97.93851654541416
912,PETRO STOPPING CENTER #319,"I-20/59,  EXIT 100",Mc Calla,AL,615,3.12566666,33.39743662796907,-116.74996055255558
936,CASEYS #4254,"I-40, EXIT 129",Conway,AR,695,3.03233333,39.677591856141746,-78.73457987885088
970,CIRCLE K #2702885,"I-17/SR-60, EXIT 199A",Phoenix,AZ,930,3.39233333,32.615496435074874,-113.70296794762497
977,PILOT TRAVEL CENTER #328,"I-10, EXIT 17",Quartzsite,AZ,930,3.959,40.36406607153699,-74.84512464753452
977,PILOT TRAVEL CENTERS #328,"I-10, EXIT 17",Quartzsite,AZ,930,3.959,35.80103019450806,-76.78846988692214
981,STINKER #85,"I-15, EXIT 93",Blackfoot,ID,825,3.53233333,44.050949831051014,-96.7708617780377
982,CIRCLE K #2701948,"I-8, EXIT 7 & SR-195",Yuma,AZ,900,3.56566666,32.0628141621899,-82.78158978480047
1028,FOUR STATES TRUCK STOP,"I-495, EXIT 4 & SR-9",New Castle,DE,243,3.449,35.11599526575388,-89.02774630909234
1028,FOUR STATES TRUCK STOP,"I-495, EXIT 4 & SR-9",New Castle,DE,243,3.399,31.702102818608836,-79.84621788311276
1042,Union 76,US-441 & SR-100A,Lake City,FL,75,3.56233333,43.87040427417844,-98.4097449607044
1043,ONE9 #1401,I-75 EXIT 414  & US-41,Lake City,FL,75,3.259,43.160090300714714,-80.7095757877825
1043,SHELL DBA ONE9 #1401,I-75 EXIT 414  & US-41,Lake City,FL,75,3.244,33.869124415727335,-96.8771591467426
1047,TA MARIANNA TRAVEL CENTER,"I-10/SR-8, EXIT 142 & SR-71",Marianna,FL,20,3.60733333,39.899760690512686,-72.9517106078603
1075,PILOT TRAVEL CENTER #68,"I-16 /SR-404, EXIT 51 & US-441",Dublin,GA,85,3.43233333,42.25833300301824,-95.68139495874263
1075,PILOT TRAVEL CENTERS #68,"I-16 /SR-404, EXIT 51 & US-441",Dublin,GA,85,3.399,38.32801217399194,-96.86903640331352
1106,CIRCLE K #2705367,"I-20, EXIT 172",Thomson,GA,16,3.399,37.9447586753401,-80.74640692182436
1112,BC AMPRIDE TRUCK PLAZA,US-59/SR-141,Denison,IA,527,3.399,33.62778436350678,-78.92111541195811
1115,KWIK STAR #704,SR-57/SR-14,Parkersburg,IA,565,3.58233333,31.396541517088487,-92.27554428394146
1121,TRAVELERS OASIS,"I-84, EXIT 182",Eden,ID,787,3.799,43.458236369299904,-111.01010932524623
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.819,43.506270857449955,-96.61208845212103
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.879,39.49652185909902,-71.59637485451609
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.779,35.08544686573051,-82.35069034804074
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.769,35.23814361918991,-79.4418698060434
1132,SPEEDWAY #7423,"I-57, EXIT 83",Ina,IL,293,3.249,40.88933518305359,-118.358725059038
1136,PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,280,3.399,43.45665389928865,-96.60702686829201
1136,PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,280,3.499,43.306296363976756,-87.66894331712223
1136,PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,280,3.599,41.69813318786436,-78.49836581859626
1140,CIRCLE K #4701398,"I-55, EXIT 82 & SR-104",Divernon,IL,280,3.499,39.630474692314316,-117.53631732086143
1149,PILOT TRAVEL CENTER #30,"I-70, EXIT 96",Greenfield,IN,375,3.959,31.262099474925733,-77.37805571790634
1149,PILOT TRAVEL CENTERS #30,"I-70, EXIT 96",Greenfield,IN,375,3.959,32.424430711419205,-92.57995316290442
1151,SPEEDWAY #8061,"I-70, EXIT 115 & SR-109",Knightstown,IN,375,3.759,43.47831282790619,-110.134301471197
1154,CIRCLE K #2704691,SR-71 & CR-214,Cedar Creek,TX,595,3.199,39.09643589489385,-104.137239177515
1156,CIRCLE K #4700028,"I-74/US-421, EXIT 116 & SR-44",Shelbyville,IN,375,3.599,30.137955774249445,-105.90352241242196
1157,One9 #297,"I-70, EXIT 11 & SR-46",Terre Haute                             ,IN,510,3.43566666,31.522073142990482,-93.4570482855762
1158,PILOT TRAVEL CENTERS #36,US-30  & SR-49,Valparaiso,IN,365,3.869,39.95252653662084,-117.41571600444341
1158,PILOT TRAVEL CENTER #36,US-30  & SR-49,Valparaiso,IN,365,3.859,30.075923757693282,-112.07319207500382
1163,SHORT STOP #13,US-54,Emporia,KS,553,2.839,32.41212077126248,-79.36534783121088
1176,PILOT TRAVEL CENTERS #353,"I-75, EXIT 129",Georgetown,KY,410,3.20566666,38.23100684049879,-113.36980046265944
1179,PILOT TRAVEL CENTERS #399,"I-65, EXIT 105",Lebanon Junction,KY,415,3.609,40.3784279653904,-108.33018652709364
1196,SOUTHERN BELLE TRUCK STOP,US-61 & SR-964,Saint Francisville,LA,725,3.384,39.779418892539006,-97.33146971979214
1199,ALLTOWN MARKETS #306,"I-190, EXIT 7",Leominster,MA,178,3.68233333,33.3640396419084,-94.14395559433348
1202,ONE9 #290,"I-95, EXIT 93 & SR-222",Perryville,MD,22,3.599,40.68268832021304,-81.81947601929207
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.549,33.558736312452,-97.63337866669062
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.349,34.88099547238902,-80.50676894822305
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.439,41.19737107677037,-89.08268464772712
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.399,39.74449348570822,-114.34501302880888
